key,trinomial,dcterms:coverage_temporal,artifact,xsd:gDate_earliestStart,xsd:gDate_latestStart,xsd:gDate_earliestEnd,xsd:gDate_latestEnd,skos:CloseMatch,count,lat,long
1368,41KE110,Late Prehistoric,,,630 AD,1700 AD,,http://n2t.net/ark:/99152/p0m448vvmv7,3,29.943425,-98.625233
1369,41KE110,Toyah ,,,1300 AD,1750 AD,,http://n2t.net/ark:/99152/p0bw9m8rf48,2,29.943425,-98.625233
1370,41KE110,Prehistoric,,,12550 BC,1690 AD,,,2,29.943425,-98.625233
1371,41KE129,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,2,29.986984,-98.884898
1372,41KE139,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,30.101216,-98.82072
1373,41KE148,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,6,30.099745,-98.821128
1374,41KE155,Prehistoric,,,12550 BC,1690 AD,,,1,30.078396,-98.70693
1375,41KE158,Prehistoric,,,12550 BC,1690 AD,,,34,30.010283,-98.832568
1376,41KE166,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,4,29.960491,-98.910141
1377,41KE172,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,2,29.970227,-98.891015
1378,41KE172,Prehistoric,,,12550 BC,1690 AD,,,2,29.970227,-98.891015
1379,41KE173,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,29.896003,-98.855671
1380,41KE174,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,29.894832,-98.854823
1381,41KE188,Prehistoric,,,12550 BC,1690 AD,,,1,29.781887,-98.713567
1382,41KE191,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,58,29.885697,-98.81823
1383,41KE191,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,58,29.885697,-98.81823
1384,41KE191,Prehistoric,,,12550 BC,1690 AD,,,58,29.885697,-98.81823
1385,41KE199,Prehistoric,,,12550 BC,1690 AD,,,6,30.034321,-98.833718
1386,41KE200,Prehistoric,,,12550 BC,1690 AD,,,7,29.973964,-98.883957
1387,41KE21,Middle Archaic,,4050 BC,3550 BC,1250 BC,1050 BC,http://n2t.net/ark:/99152/p0m448v3gsp,1,29.887399,-98.480917
1388,41KE212,Prehistoric,,,12550 BC,1690 AD,,,7,29.883132,-98.882961
1389,41KE213,Prehistoric,,,12550 BC,1690 AD,,,6,29.886578,-98.883062
1390,41KE215,Prehistoric,,,12550 BC,1690 AD,,,1,29.773111,-98.711823
1391,41KE216,Prehistoric,,,12550 BC,1690 AD,,,1,29.782115,-98.716423
