key,trinomial,dcterms:coverage_temporal,artifact,xsd:gDate_earliestStart,xsd:gDate_latestStart,xsd:gDate_earliestEnd,xsd:gDate_latestEnd,skos:CloseMatch,count,lat,long
1041,41HY161,Early Late Prehistoric,,,750 AD,1150 AD,1300 AD,http://n2t.net/ark:/99152/p07fthd27hd,54,29.88925,-97.935168
1042,41HY161,Paleoindian,,12550 BC,11050 BC,7850 BC,7050 BC,http://n2t.net/ark:/99152/p0m448vx5q4,11,29.88925,-97.935168
1043,41HY161,,Ensor Projectile Point,,250 BC,550 AD,,,6,29.88925,-97.935168
1044,41HY163,Prehistoric,,,12550 BC,1690 AD,,,194,29.86929,-97.967105
1045,41HY163,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,5,29.86929,-97.967105
1046,41HY163,Toyah,,1250 AD,1450 AD,1600 AD,1750 AD,http://n2t.net/ark:/99152/p0qkjhbzth5,172,29.86929,-97.967105
1047,41HY163,Late Archaic,,,2050 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p0m448vtqnz,160,29.86929,-97.967105
1048,41HY163,Late Prehistoric,,,630 AD,1700 AD,,http://n2t.net/ark:/99152/p0m448vvmv7,161,29.86929,-97.967105
1049,41HY163,Early Historic,,,1690 AD,1720 AD,1730 AD,http://n2t.net/ark:/99152/p07fthdjjrw,142,29.86929,-97.967105
1050,41HY163,Historic Period,,,1690 AD,1950 AD,,http://n2t.net/ark:/99152/p07fthdvbjk,142,29.86929,-97.967105
1051,41HY163,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,143,29.86929,-97.967105
1052,41HY163,San Marcos ,,,649 BC,299 BC,,http://n2t.net/ark:/99152/p0bw9m86qh2,1,29.86929,-97.967105
1053,41HY164,Prehistoric,,,12550 BC,1690 AD,,,4,29.870948,-97.930559
1054,41HY165,Historic Period,,,1690 AD,1950 AD,,http://n2t.net/ark:/99152/p07fthdvbjk,260,29.890674,-97.932657
1055,41HY165,Prehistoric,,,12550 BC,1690 AD,,,1466,29.890674,-97.932657
1056,41HY165,Early Archaic,,7050 BC,6950 BC,4050 BC,3550 BC,http://n2t.net/ark:/99152/p0m448vxj6h,254,29.890674,-97.932657
1057,41HY165,Late Archaic,,,2050 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p0m448vtqnz,272,29.890674,-97.932657
1058,41HY165,Austin Period,,600 AD,850 AD,1150 AD,1400 AD,http://n2t.net/ark:/99152/p0qkjhbpg5s,254,29.890674,-97.932657
1059,41HY165,Middle Archaic,,,4050 BC,2050 BC,,http://n2t.net/ark:/99152/p0m448v3gsp,260,29.890674,-97.932657
1060,41HY165,Late Archaic I,,,2299 BC,599 BC,,http://n2t.net/ark:/99152/p0t3585kxnj,254,29.890674,-97.932657
1061,41HY165,Early Archaic Period,,,6499 BC,3599 BC,,http://n2t.net/ark:/99152/p0qkjhb4hmc,254,29.890674,-97.932657
1062,41HY165,Paleoindian period,,,9550 BC,6850 BC,,http://n2t.net/ark:/99152/p07fthdqd8t,254,29.890674,-97.932657
