41SS164,Late Archaic,-1200,0950
41SS175,Historic,1600,1950
41SS176,Archaic,-6550,0700
41SS176,Historic,1600,1950
41SS176,Toyah,1250,1750
41SS177,Historic,1600,1950
41SS177,Toyah,1250,1750
41SS178,Historic,1600,1950
41SS181,Historic,1600,1950
41SS182,Historic,1600,1950
41SS182,San Marcos,-0650,-0300
41SS20,Historic,1600,1950
41SS20,Toyah,1250,1750
41SS23,Historic,1600,1950
41SS51,Early Archaic,-7050,-3550
41SS51,Late Paleoindian,-7450,-6850
41SS51,Paleoindian,-12550,-7050
41SS52,Paleoindian,-12550,-7050
41SS52,Toyah,1250,1750
41SS59,Historic,1600,1950
41SS74,Historic,1600,1950
41SS8,Paleoindian,-12550,-7050
41SU10,Historic,1600,1950
41SU17,Historic,1600,1950
41SU1,Historic,1600,1950
41SU22,Historic,1600,1950
41SU27,Historic,1600,1950
41TA111,Historic,1600,1950
41TA111,Historic Period,1690,1950
41TA1,Historic,1600,1950
41TA254,Historic,1600,1950
41TA29,Historic,1600,1950
41TA29,Uvalde,-0300,0150
41TA32,Historic,1600,1950
41TA79,Historic,1600,1950
41TG229,Historic,1600,1950
41TG307,Archaic,-6550,0700
41TG309,Archaic,-6550,0700
41TG91,Austin,0600,1400
41TG91,Toyah,1250,1750
41TV166,Historic,1600,1950
41TV39,Austin,0600,1400
41TV525,Historic,1600,1950
41TV526,Historic,1600,1950
41TV527,Historic,1600,1950
41TV528,Early Archaic,-7050,-3550
41UT41,Historic,1600,1950
41UV132,Historic,1600,1950
41UV132,Uvalde,-0300,0150
41UV159,Historic,1600,1950
41UV20,Uvalde,-0300,0150
41UV21,Historic,1600,1950
41UV2,Historic,1600,1950
41UV318,Uvalde,-0300,0150
41UV67,Austin,0600,1400
41VV18,Infierno Phase,1500,1700
41VV272,Historic,1600,1950
41VV27,Infierno Phase,1500,1700
41VV428,Late Paleoindian,-7450,-6850
41VV429,Historic,1600,1950
41VV446,Late Prehistoric,0630,1700
41VV446,Toyah,1250,1750
41VV661,Historic,1600,1950
41VV661,Late Prehistoric,0630,1700
41VV661,Middle Archaic,-4050,-1050
41VV661,Toyah,1250,1750
41VV662,Historic,1600,1950
41VV665,Historic,1600,1950
41VV665,Middle Archaic,-4050,-1050
41VV767,Historic,1600,1950
41VV767,Late Archaic,-1200,0950
41WM104,Historic,1600,1950
41WM104,Historic Period,1690,1950
41WM106,Historic,1600,1950
41WM107,Historic,1600,1950
41WM109,Historic,1600,1950
41WM124,Archaic,-6550,0700
41WM124,Late Archaic,-1200,0950
41WM130,Twin Sisters,0150,0550
41WM133,Archaic,-6550,0700
41WM133,Late Archaic,-1200,0950
41WM21,Archaic,-6550,0700
41WM21,Late Archaic,-1200,0950
41WM267,Archaic,-6550,0700
41WM273,Historic,1600,1950
41WM278,Historic,1600,1950
41WM283,Historic,1600,1950
41WM284,Late Archaic,-1200,0950
41WM284,Twin Sisters,0150,0550
41WM294,Late Archaic,-1200,0950
41WM294,Twin Sisters,0150,0550
41WM30,Late Archaic,-1200,0950
41WM30,Twin Sisters,0150,0550
41WM432,Archaic,-6550,0700
41WM544,Historic,1600,1950
41WM546,Archaic,-6550,0700
41WM547,Archaic,-6550,0700
41WM716,Historic,1600,1950
41WM808,Archaic,-6550,0700
41WM815,Austin,0600,1400
41WM815,Historic,1600,1950
41WM816,Austin,0600,1400
41WM817,Austin,0600,1400
41WM818,Austin,0600,1400
41WM90,Historic,1600,1950
41WM913,Historic,1600,1950
41WM956,Historic,1600,1950
41WM958,Late Paleoindian,-7450,-6850
41WM959,Historic,1600,1950
41WM960,Late Archaic,-1200,0950
period,dcterms:coverage_temporal,xsd:gDate_start,xsd:gDate_end
