"id","type","periods__|","periods__|__id","periods__|__type","periods__|__source__locator","periods__|__label","periods__|__language","periods__|__languageTag","periods__|__spatialCoverage__id","periods__|__spatialCoverage__label","periods__|__spatialCoverageDescription","periods__|__start__label","periods__|__start__in__year","periods__|__stop__label","periods__|__stop__in__year","periods__|__editorialNote","periods__|__localizedLabels__en__-","source__citation","source__title","source__url","source__yearPublished","source__creators__name","@context__@base","editorialNote","@context","primaryTopicOf__id","primaryTopicOf__inDataset__id","primaryTopicOf__inDataset__changes"
"p0jhchf","Authority","p0jhchfhtn4","p0jhchfhtn4","Period","p. 41","Middle Wisconsin Period","http://lexvo.org/id/iso639-1/en","en","http://www.wikidata.org/entity/Q1439","Texas","Texas","33,500 Years B.P.","-31550","22,500 Years B.P.","-20550","","Middle Wisconsin Period","Bryant, V.M., and R.G. Holloway. 1985. “A late-Quaternary paleoenvironmental record of Texas: an overview of the pollen evidence.” In Pollen Records of Late-Quaternary North American Sediments, edited by Vaughn M. Bryant and Holloway, Richard G., 39–70. Dallas, TX: American Association of Stratigraphic Palynologists.","A Late-Quaternary Paleoenvironmental Record of Texas","http://www.worldcat.org/oclc/804398513","1985","Vaughn Bryant","","Chapter from an edited volume; WorldCat URL is for the volume as a whole. The authors state on p. 41 that they will use ""the time periods originally proposed by Hafsten (1961)"", citing U. Hafsten, 1961, ""Pleistocene development of vegetation and climate in the southern high plains as evidence by pollen analysis"", in: Wendorf., F. (ed.), Paleoecology of the Llano Estacado, Fort Burgwin Research Center, I, Museum of New Mexico Press, Santa Fe, New Mexico: 59-91.","http://n2t.net/ark:/99152/p0c","p0jhchf.json","p0d","p0h#changes"
"","","p0jhchf6sqf","p0jhchf6sqf","Period","p. 44","Wisconsin Full-Glacial Period","http://lexvo.org/id/iso639-1/en","en","http://www.wikidata.org/entity/Q1439","Texas","Texas","22,500 Years B.P.","-20550","14,000 Years B.P.","-12050","","Wisconsin Full-Glacial Period","","","","","Richard Holloway","http://n2t.net/ark:/99152/","","","","",""
"","","p0jhchfhz69","p0jhchfhz69","Period","p. 50","Late Glacial Period","http://lexvo.org/id/iso639-1/en","en","http://www.wikidata.org/entity/Q1439","Texas","Texas","14,000 Years B.P.","-12050","10,000 Years B.P.","-8050","","Late Glacial Period","","","","","","","","","","",""
"","","p0jhchfwwmr","p0jhchfwwmr","Period","p. 56","Post-Glacial Period","http://lexvo.org/id/iso639-1/en","en","http://www.wikidata.org/entity/Q1439","Texas","Texas","10,000 Years B.P.","-8050","present","1950","""Present"" understood in traditional B.P. dating context as 1950.","Post-Glacial Period","","","","","","","","","","",""
