period,label,spatial_coverage,gazetteer_links,start,stop,authority,source,publication_year,derived_periods,earliest_start,latest_stop
http://n2t.net/ark:/99152/p0jhchfhtn4,Middle Wisconsin Period,Texas,http://www.wikidata.org/entity/Q1439,-31550,-20550,http://n2t.net/ark:/99152/p0jhchf,A Late-Quaternary Paleoenvironmental Record of Texas | Richard Holloway | Vaughn Bryant,1985,,,
http://n2t.net/ark:/99152/p0jhchf6sqf,Wisconsin Full-Glacial Period,Texas,http://www.wikidata.org/entity/Q1439,-20550,-12050,http://n2t.net/ark:/99152/p0jhchf,A Late-Quaternary Paleoenvironmental Record of Texas | Richard Holloway | Vaughn Bryant,1985,,,
http://n2t.net/ark:/99152/p0jhchfhz69,Late Glacial Period,Texas,http://www.wikidata.org/entity/Q1439,-12050,-8050,http://n2t.net/ark:/99152/p0jhchf,A Late-Quaternary Paleoenvironmental Record of Texas | Richard Holloway | Vaughn Bryant,1985,,,
http://n2t.net/ark:/99152/p0jhchfwwmr,Post-Glacial Period,Texas,http://www.wikidata.org/entity/Q1439,-8050,1950,http://n2t.net/ark:/99152/p0jhchf,A Late-Quaternary Paleoenvironmental Record of Texas | Richard Holloway | Vaughn Bryant,1985,,,
