Real,RE
Kendall,KE
Edwards,ED
Kerr,KR
Kimble,KM
Kinney,KY
Runnels,RN
Bandera,BN
San Saba,SS
Bexar,BX
Schleicher,SL
Blanco,BC
Brewster,BS
Gillespie,GL
Llano,LL
Glasscock,GC
Sterling,ST
Sutton,SU
Burnet,BT
Mason,MS
Taylor,TA
Terrell,TE
McCulloch,MK
Tom Green,TG
Medina,ME
Travis,TV
Menard,MN
Midland,MD
Upton,UT
Uvalde,UV
Coke,CK
Hays,HY
Val Verde,VV
Coleman,CN
Comal,CM
Concho,CC
Nolan,NL
Crockett,CX
Irion,IR
Williamson,WM
Pecos,PC
Reagan,RG
