period,label,spatial_coverage,gazetteer_links,start,stop,authority,source,publication_year,derived_periods
http://n2t.net/ark:/99152/p0t3585b2rd,Paleoindian Era,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-7699,-6499,http://n2t.net/ark:/99152/p0t3585,"A New Try at Dating and Characterizing Holocene Climates, as well as Archeological Periods, on the Eastern Edwards Plateau | LeRoy Johnson | Glenn Goode",1994,
http://n2t.net/ark:/99152/p0t3585kxnj,Archaic Era,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-6499,1200,http://n2t.net/ark:/99152/p0t3585,"A New Try at Dating and Characterizing Holocene Climates, as well as Archeological Periods, on the Eastern Edwards Plateau | LeRoy Johnson | Glenn Goode",1994,
http://n2t.net/ark:/99152/p0t35856b5j,Early Archaic Period,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-6499,-3599,http://n2t.net/ark:/99152/p0t3585,"A New Try at Dating and Characterizing Holocene Climates, as well as Archeological Periods, on the Eastern Edwards Plateau | LeRoy Johnson | Glenn Goode",1994,
http://n2t.net/ark:/99152/p0t3585nqbr,Middle Archaic Period,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-3599,-2299,http://n2t.net/ark:/99152/p0t3585,"A New Try at Dating and Characterizing Holocene Climates, as well as Archeological Periods, on the Eastern Edwards Plateau | LeRoy Johnson | Glenn Goode",1994,
http://n2t.net/ark:/99152/p0t3585v34n,Dry Edwards Interval,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-3199,-0499,http://n2t.net/ark:/99152/p0t3585,"A New Try at Dating and Characterizing Holocene Climates, as well as Archeological Periods, on the Eastern Edwards Plateau | LeRoy Johnson | Glenn Goode",1994,
http://n2t.net/ark:/99152/p0t3585t8hz,Late Archaic I,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-2299,-0599,http://n2t.net/ark:/99152/p0t3585,"A New Try at Dating and Characterizing Holocene Climates, as well as Archeological Periods, on the Eastern Edwards Plateau | LeRoy Johnson | Glenn Goode",1994,
http://n2t.net/ark:/99152/p0t3585c8d7,Late Archaic Period,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-2299,1200,http://n2t.net/ark:/99152/p0t3585,"A New Try at Dating and Characterizing Holocene Climates, as well as Archeological Periods, on the Eastern Edwards Plateau | LeRoy Johnson | Glenn Goode",1994,
http://n2t.net/ark:/99152/p0t35858nxt,Late Archaic II,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-0599,0600,http://n2t.net/ark:/99152/p0t3585,"A New Try at Dating and Characterizing Holocene Climates, as well as Archeological Periods, on the Eastern Edwards Plateau | LeRoy Johnson | Glenn Goode",1994,
http://n2t.net/ark:/99152/p0t3585fjns,Post-Archaic Era,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,0400,1600,http://n2t.net/ark:/99152/p0t3585,"A New Try at Dating and Characterizing Holocene Climates, as well as Archeological Periods, on the Eastern Edwards Plateau | LeRoy Johnson | Glenn Goode",1994,
